,name,ticker,figi,lot,price,min_price_increment,currency,lot_price,shares_available,profit
1,En+ Group,ENPG,BBG000RMWQD4,1,688.0,0.5,rub,688.0,14.0,7.0
2,Аэрофлот,AFLT,BBG004S683W7,10,30.62,0.02,rub,306.2,32.0,6.4
3,Petropavlovsk PLC,POGR,BBG00VPKLPX4,100,8.135,0.005,rub,813.5,12.0,6.0
4,Ozon Holdings PLC,OZON,BBG00Y91R9T3,1,1000.0,0.5,rub,1000.0,10.0,5.0
5,VK,VKCO,BBG00178PGX3,1,416.8,0.2,rub,416.8,23.0,4.6000000000000005
6,ГДР X5 RetailGroup,FIVE,BBG00JXPFBN0,1,1107.5,0.5,rub,1107.5,9.0,4.5
7,Татнефть - привилегированные акции,TATNP,BBG004S68829,1,310.4,0.1,rub,310.4,32.0,3.2
8,Татнефть,TATN,BBG004RVFFC0,1,359.7,0.1,rub,359.7,27.0,2.7
9,Банк ВТБ,VTBR,BBG004730ZJ9,10000,0.01881,5e-06,rub,188.1,53.0,2.6500000000000004
10,Fix Price Group,FIXP,BBG00ZHCX1X2,1,383.2,0.1,rub,383.2,26.0,2.6
11,Детский Мир,DSKY,BBG000BN56Q9,10,74.0,0.02,rub,740.0,13.0,2.6
12,МТС,MTSS,BBG004S681W1,10,188.05,0.05,rub,1880.5,5.0,2.5
13,Интер РАО ЕЭС,IRAO,BBG004S68473,100,2.43,0.0005,rub,243.00000000000003,41.0,2.0500000000000003
14,ФСК ЕЭС,FEES,BBG00475JZZ6,10000,0.09448,2e-05,rub,944.8,10.0,2.0
15,НОВАТЭК,NVTK,BBG00475KKY8,1,970.2,0.2,rub,970.2,10.0,2.0
16,Сургутнефтегаз,SNGS,BBG0047315D0,100,22.69,0.005,rub,2269.0,4.0,2.0
17,МКБ,CBOM,BBG009GSYN76,100,4.763,0.001,rub,476.3,20.0,2.0
18,TCS Group,TCSG,BBG00QPYJ5H0,1,2270.0,0.5,rub,2270.0,4.0,2.0
19,Северсталь,CHMF,BBG00475K6C3,1,1061.8,0.2,rub,1061.8,9.0,1.8
20,ПИК,PIKK,BBG004S68BH6,1,550.0,0.1,rub,550.0,18.0,1.8
21,Ростелеком,RTKM,BBG004S682Z6,10,57.9,0.01,rub,579.0,17.0,1.7000000000000002
22,Globaltrans Investment PLC,GLTR,BBG000VFX6Y4,1,318.6,0.05,rub,318.6,31.0,1.55
23,Сургутнефтегаз - привилегированные акции,SNGSP,BBG004S681M2,100,32.575,0.005,rub,3257.5000000000005,3.0,1.5
24,Роснефть,ROSN,BBG004731354,1,397.35,0.05,rub,397.35,25.0,1.25
25,Polymetal,POLY,BBG004PYF2N3,1,775.0,0.1,rub,775.0,12.0,1.2000000000000002
26,РусГидро,HYDR,BBG00475K2X9,1000,0.7747,0.0001,rub,774.7,12.0,1.2000000000000002
27,АЛРОСА,ALRS,BBG004S68B31,10,80.11,0.01,rub,801.1,12.0,1.2
28,НЛМК,NLMK,BBG004S681B4,10,155.86,0.02,rub,1558.6000000000001,6.0,1.2
29,Магнитогорский металлургический комбинат,MAGN,BBG004S68507,10,42.0,0.005,rub,420.0,23.0,1.1500000000000001
30,Московская Биржа,MOEX,BBG004730JJ5,10,90.05,0.01,rub,900.5,11.0,1.1
31,Магнит,MGNT,BBG004RVFCY3,1,4170.0,0.5,rub,4170.0,2.0,1.0
32,ЛУКОЙЛ,LKOH,BBG004731032,1,3828.0,0.5,rub,3828.0,2.0,1.0
33,Yandex,YNDX,BBG006L8G4H1,1,1692.0,0.2,rub,1692.0,5.0,1.0
34,ФосАгро,PHOR,BBG004S689R0,1,7000.0,1.0,rub,7000.0,1.0,1.0
35,Сбер Банк,SBER,BBG004730N88,10,116.97,0.01,rub,1169.7,8.0,0.8
36,Сбер Банк - привилегированные акции,SBERP,BBG0047315Y7,10,123.27,0.01,rub,1232.7,8.0,0.8
37,АФК Система,AFKS,BBG004S68614,100,12.3,0.001,rub,1230.0,8.0,0.8
38,РУСАЛ,RUAL,BBG008F2T3T2,10,64.895,0.005,rub,648.9499999999999,15.0,0.75
39,Газпром,GAZP,BBG004730RP0,10,208.0,0.01,rub,2080.0,4.0,0.4
40,Полюс Золото,PLZL,BBG000R607Y3,1,13400.0,0.5,rub,13400.0,0.0,0.0
41,Норильский никель,GMKN,BBG004731489,1,19700.0,2.0,rub,19700.0,0.0,0.0
42,Транснефть - привилегированные акции,TRNFP,BBG00475KHX6,1,108150.0,50.0,rub,108150.0,0.0,0.0
